number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,price,room_type,neighbourhood,neighbourhood_group
0.07154213036565978,0.0,0.3333333333333333,0.9726027397260274,225,1,1,1
0.0,0.14285714285714285,0.0,1.0,150,0,2,1
0.4292527821939587,0.0,0.0,0.5315068493150685,89,1,3,0
0.014308426073131956,0.6428571428571428,0.0,0.0,80,1,4,1
0.11764705882352942,0.14285714285714285,0.0,0.35342465753424657,200,1,5,1
0.6836248012718601,0.07142857142857142,0.0,0.6027397260273972,79,0,7,1
0.1875993640699523,0.07142857142857142,0.0,0.0,79,0,8,1
0.25437201907790147,0.0,1.0,0.5150684931506849,150,1,9,1
0.08426073131955486,0.2857142857142857,0.0,0.016438356164383564,135,1,8,1
0.2988871224165342,0.07142857142857142,0.0,0.10684931506849316,85,0,7,1
0.2655007949125596,0.21428571428571427,0.6666666666666667,0.8602739726027397,89,0,10,0
0.1796502384737679,0.07142857142857142,0.0,0.9123287671232877,85,0,8,1
0.23529411764705885,0.07142857142857142,0.0,0.12602739726027398,140,1,12,0
0.314785373608903,0.07142857142857142,0.0,0.8794520547945206,215,1,13,0
0.41335453100158986,0.0,0.0,0.03287671232876713,140,0,14,1
0.08426073131955486,0.14285714285714285,0.0,0.057534246575342465,99,1,15,0
0.0,0.4285714285714286,0.3333333333333333,0.6821917808219178,190,1,4,1
0.014308426073131956,0.14285714285714285,0.0,0.0,299,1,12,0
0.1399046104928458,0.07142857142857142,0.3333333333333333,0.6383561643835617,120,1,6,0
0.030206677265500796,0.0,0.3333333333333333,0.23287671232876714,60,0,17,0
0.0,0.21428571428571427,0.0,0.0,80,0,18,1
0.09220985691573927,0.6428571428571428,0.0,0.2054794520547945,150,1,7,1
0.17170111287758347,0.14285714285714285,0.6666666666666667,0.852054794520548,44,0,18,1
0.046104928457869634,0.9285714285714286,0.0,0.18356164383561643,180,1,19,1
0.38473767885532595,0.14285714285714285,0.6666666666666667,0.9726027397260274,50,0,2,1
0.1399046104928458,0.07142857142857142,0.0,0.6986301369863014,52,0,2,1
0.31319554848966613,0.21428571428571427,0.6666666666666667,0.7780821917808219,55,0,20,0
0.43402225755166934,0.14285714285714285,0.6666666666666667,0.9835616438356164,50,0,2,1
0.11764705882352942,0.0,0.3333333333333333,0.736986301369863,70,0,6,0
0.2670906200317965,0.21428571428571427,0.6666666666666667,0.9315068493150686,89,0,10,0
0.3672496025437202,0.07142857142857142,0.3333333333333333,0.06027397260273973,85,1,21,0
0.0,0.0,0.0,1.0,150,0,22,0
0.34022257551669316,0.0,1.0,0.5150684931506849,40,2,23,1
0.3895071542130366,0.07142857142857142,0.3333333333333333,0.263013698630137,68,0,19,1
0.02384737678855326,0.14285714285714285,0.0,0.9452054794520548,120,1,10,0
